"TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","IncomePerCap"
2844,1549,1295,3.2,95.4,1.4,0,0.1,0,2264,11.3,11.9,29.6,19.4,11.8,13.2,26,77.9,12,0.6,1.7,0,7.8,23,1302,70,19.9,10.1,0,8.2,25126
1567,667,900,16.6,0,83,0,0.4,0,1022,50.5,72.9,12.2,45.3,15.3,6.6,20.6,53.6,12.8,30.2,3.4,0,0,43.8,548,81,16.4,2.6,0,30.3,13018
3652,1751,1901,2.2,96.3,0,0,1.5,0,2944,5.2,5.7,46.8,12.7,24.9,9.1,6.5,80.5,7.1,0,0.4,1.2,10.7,35,1669,75.3,19.5,4.6,0.5,4.1,47762
3443,1647,1796,24.9,44.8,10.3,1.3,13.3,0.3,2546,13.8,21.4,22.6,29,31.4,9.6,7.3,79.7,9.5,7.5,0.7,0,2.6,25.9,1715,84.1,10.1,4.7,1.1,10.3,25863
3957,1714,2243,8.2,87.1,0.4,0,2,0.5,2846,13.9,13.9,58,11,19.1,5.8,6,78.6,6.4,4.1,0,0.4,10.5,20.1,2200,77,15.3,7.2,0.5,2.1,31358
3419,1650,1769,0.6,96.3,2.3,0,0,0,2933,9,9.8,28.9,17,21.2,15.8,17.1,87.3,9.1,0,2.3,0,1.3,26.4,1782,87,7.1,5.9,0,4.4,32378
17842,8495,9347,10.5,64.8,9.7,0.5,11.8,0,11312,4.9,5.4,65.3,8.1,21.3,3.5,1.8,75.6,6.1,4,1.2,2.3,10.8,32.3,8379,82.9,11.6,5.5,0,4.7,48388
9749,5022,4727,6.3,4.6,0.1,0.1,63.9,3.1,6057,3,2.4,23.9,39.4,23.1,6.8,6.8,76.1,16.4,3.8,0,1.5,2.2,22.5,4851,78.1,19.7,1.8,0.4,6.6,27093
4208,2155,2053,65.5,24.1,6.7,0.2,1.9,0,3065,17,24,23.1,28.5,18.6,16.5,13.3,81,12.3,3.6,1.5,0.8,0.8,19.8,1972,80,11.3,8.7,0,2.1,18650
3846,1787,2059,2,23.9,73.6,0,0.4,0,3355,58.2,77.4,25.1,29.2,25.2,8.8,11.7,76.6,12.7,0,5.2,3,2.5,14.3,1187,81.6,16.1,2.4,0,17.4,11483
